Model,Accuracy,F1_Weighted,F1_Macro
Logistic Regression,0.6970802668447468,0.6827157997642792,0.431983770588459
LDA,0.68793759853497,0.6719946328057557,0.3887110852992505
QDA,0.6576043179831054,0.6573471867553697,0.5136876776272138
Naive Bayes,0.6303002347627932,0.6327125023074863,0.4475370667735686
